prefix,input_text,target_text
translate english to thai,"The objectives of this study were to  survey, analyze and evaluate risk factors of Cloud computing systems of government organizations in Thailand,  design and develop a Cloud computing security model for government organizations, and  evaluate the efficiency of the model. ",การศึกษานี้มีวัตถุประสงค์เพื่อ  สำรวจ วิเคราะห์ และประเมินปัจจัยเสี่ยงของระบบคลาวด์คอมพิวติ้งของหน่วยงานภาครัฐในประเทศไทย  ออกแบบและพัฒนาโมเดลความปลอดภัยคลาวด์คอมพิวติ้งสำหรับองค์กรภาครัฐ และ  ประเมินประสิทธิภาพของโมเดล
translate thai to english,ผลการศึกษาพบว่าการเปลี่ยนแปลงค่าโมดูลัสเชิงปริมาตรของเหลวส่งผลกระทบต่อค่าความถี่ธรรมชาติของโครงสร้างเปลือกบางน้อยมาก,The results indicate that the changing of bulk modulus of the internal liquid has a little effect on the frequency parameter of the shell structures with constraint volume condition.
translate english to thai,The results indicate that the changing of bulk modulus of the internal liquid has a little effect on the frequency parameter of the shell structures with constraint volume condition.,ผลการศึกษาพบว่าการเปลี่ยนแปลงค่าโมดูลัสเชิงปริมาตรของเหลวส่งผลกระทบต่อค่าความถี่ธรรมชาติของโครงสร้างเปลือกบางน้อยมาก
translate thai to english,การประเมินที่ดำเนินการโดยผู้เชี่ยวชาญสามคนตามเกณฑ์เชิงคุณภาพแสดงให้เห็นว่าความปลอดภัยโดยรวมของแนวปฏิบัติที่มีอยู่นั้นอยู่ในระดับปานกลาง ซึ่งค่าเฉลี่ยคือ 3,"The evaluation conducted by three experts according to qualitative rubrics showed that the overall security of the existing practice was at a moderate level, of which the mean was 3. "
translate english to thai,"The evaluation conducted by three experts according to qualitative rubrics showed that the overall security of the existing practice was at a moderate level, of which the mean was 3. ",การประเมินที่ดำเนินการโดยผู้เชี่ยวชาญสามคนตามเกณฑ์เชิงคุณภาพแสดงให้เห็นว่าความปลอดภัยโดยรวมของแนวปฏิบัติที่มีอยู่นั้นอยู่ในระดับปานกลาง ซึ่งค่าเฉลี่ยคือ 3
translate thai to english,และการบำบัดที่ 4: อัตราส่วนรวมทั้งหมดและใบมันสำปะหลังแห้งในอัตรา 30% ของอาหารสัตว์,And Treatment 4: total mixed ration and cassava leaves hay at 30% of feed. 
translate english to thai,And Treatment 4: total mixed ration and cassava leaves hay at 30% of feed. ,และการบำบัดที่ 4: อัตราส่วนรวมทั้งหมดและใบมันสำปะหลังแห้งในอัตรา 30% ของอาหารสัตว์
translate thai to english,การออกแบบพารามิเตอร์ SVC ขึ้นอยู่กับแบบจำลองทางคณิตศาสตร์ซึ่งนำเสนอในบทความนี้ด้วย,The design of SVC parameters depend on the mathematical model which is also presented in this paper. 
translate english to thai,The design of SVC parameters depend on the mathematical model which is also presented in this paper. ,การออกแบบพารามิเตอร์ SVC ขึ้นอยู่กับแบบจำลองทางคณิตศาสตร์ซึ่งนำเสนอในบทความนี้ด้วย
translate thai to english,ผลปรากฏว่าดอกเก็กฮวยอบแห้งด้วยตู้อบแห้งแบบปั๊มความร้อนสามารถลดความชื้นของผลิตภัณฑ์ได้ต่ำกว่า 5 % ตามความต้องการของผู้ประกอบการ,The result show that dried chrysanthemum flowers by heat pump drying oven can reduced product moisture lower than 5 % follow entrepreneur requirement. 
translate english to thai,The result show that dried chrysanthemum flowers by heat pump drying oven can reduced product moisture lower than 5 % follow entrepreneur requirement. ,ผลปรากฏว่าดอกเก็กฮวยอบแห้งด้วยตู้อบแห้งแบบปั๊มความร้อนสามารถลดความชื้นของผลิตภัณฑ์ได้ต่ำกว่า 5 % ตามความต้องการของผู้ประกอบการ
translate thai to english,งานวิจัยนี้มีวัตถุประสงค์เพื่อปรับปรุงกระบวนการโลจิสติกส์ในกรณีของกระบวนการจัดซื้อในการผลิตกระดาษหัตถกรรม,The objective of this research is to improve the logistics process in case of the purchasing process in Craft Paper production. 
translate english to thai,The objective of this research is to improve the logistics process in case of the purchasing process in Craft Paper production. ,งานวิจัยนี้มีวัตถุประสงค์เพื่อปรับปรุงกระบวนการโลจิสติกส์ในกรณีของกระบวนการจัดซื้อในการผลิตกระดาษหัตถกรรม
translate thai to english,แอปพลิเคชันมือถือสำหรับการจดจำใบหน้าเวลาเข้างาน การใช้แอปพลิเคชันจำเป็นต้องกรอกข้อมูลและถ่ายรูปใบหน้าก่อนจึงจะสามารถลงชื่อเข้าใช้ได้,"The mobile application for time attendance face recognition, using application need to fill in and take a photo of the face before being able to sign in. "
translate english to thai,"The mobile application for time attendance face recognition, using application need to fill in and take a photo of the face before being able to sign in. ",แอปพลิเคชันมือถือสำหรับการจดจำใบหน้าเวลาเข้างาน การใช้แอปพลิเคชันจำเป็นต้องกรอกข้อมูลและถ่ายรูปใบหน้าก่อนจึงจะสามารถลงชื่อเข้าใช้ได้
translate thai to english,วัตถุประสงค์คือเพื่อสร้างความสมดุลระหว่างภาระงานและระยะเวลาในการทำงานของลูกเรือแต่ละคน,The objective is to balance the workload and perdiem for each crew member. 
translate english to thai,The objective is to balance the workload and perdiem for each crew member. ,วัตถุประสงค์คือเพื่อสร้างความสมดุลระหว่างภาระงานและระยะเวลาในการทำงานของลูกเรือแต่ละคน
translate thai to english,ขีดจำกัดอัตราส่วนการลากขึ้นรูปขึ้นอยู่กับมุมเอียงหน้าดายที่เพิ่มขึ้น มุมเอียงหน้าดายที่แตกต่างกันจะใช้แรงในการลากขึ้นรูปแตกต่างกันเพียงเล็กน้อย,The limit drawing ratio and the maximum deep drawing force had a little influence by changing the die surface angle.
translate english to thai,The limit drawing ratio and the maximum deep drawing force had a little influence by changing the die surface angle.,ขีดจำกัดอัตราส่วนการลากขึ้นรูปขึ้นอยู่กับมุมเอียงหน้าดายที่เพิ่มขึ้น มุมเอียงหน้าดายที่แตกต่างกันจะใช้แรงในการลากขึ้นรูปแตกต่างกันเพียงเล็กน้อย
translate thai to english,การวิจัยนี้มีวัตถุประสงค์เพื่อศึกษา  ปัจจัยที่มีผลต่อการถอนรายวิชาของนักศึกษาวิศวกรรมศาสตร์ระดับปริญญาตรี มหาวิทยาลัยศรีนครินทรวิโรฒ ปีการศึกษา 2559,This research aims to study  factors affecting course withdrawals of undergraduate Engineering students at Srinakharinwirot University in academic year 2016. 
translate english to thai,This research aims to study  factors affecting course withdrawals of undergraduate Engineering students at Srinakharinwirot University in academic year 2016. ,การวิจัยนี้มีวัตถุประสงค์เพื่อศึกษา  ปัจจัยที่มีผลต่อการถอนรายวิชาของนักศึกษาวิศวกรรมศาสตร์ระดับปริญญาตรี มหาวิทยาลัยศรีนครินทรวิโรฒ ปีการศึกษา 2559
translate thai to english,งานวิจัยได้ใช้เซนเซอร์อินฟราเรดเป็นตัวตรวจวัดชนิดของธนบัตร,The proposed device used infrared sensors to assist in this process.
translate english to thai,The proposed device used infrared sensors to assist in this process.,งานวิจัยได้ใช้เซนเซอร์อินฟราเรดเป็นตัวตรวจวัดชนิดของธนบัตร
translate thai to english,การวิจัยนี้มีวัตถุประสงค์เพื่อศึกษาปัจจัยในการคัดเลือกผู้รับเหมาปรับปรุงอาคารโดยใช้กระบวนการวิเคราะห์ลำดับชั้น,The objective of this research was to study the factors for selecting building improvement contractors by using the hierarchical analysis process.
translate english to thai,The objective of this research was to study the factors for selecting building improvement contractors by using the hierarchical analysis process.,การวิจัยนี้มีวัตถุประสงค์เพื่อศึกษาปัจจัยในการคัดเลือกผู้รับเหมาปรับปรุงอาคารโดยใช้กระบวนการวิเคราะห์ลำดับชั้น
translate thai to english,เครื่องมือที่ใช้คือ แบบสอบถาม และแบบสำรวจรายการตรวจสอบมาตราส่วนประมาณค่า 5 รายการ,"The instruments are questionnaires, and a 5 rating scale check-list survey. "
translate english to thai,"The instruments are questionnaires, and a 5 rating scale check-list survey. ",เครื่องมือที่ใช้คือ แบบสอบถาม และแบบสำรวจรายการตรวจสอบมาตราส่วนประมาณค่า 5 รายการ
translate thai to english,แอปพลิเคชันยังมีระบบแจ้งเตือนความปลอดภัย ในกรณีที่ตรวจเจอบุคคลนอกช่วงเวลาที่กำหนดผ่านทางไลน์,The application also sends out safety alert in case detection occurs outside of the specified time via LINE.
translate english to thai,The application also sends out safety alert in case detection occurs outside of the specified time via LINE.,แอปพลิเคชันยังมีระบบแจ้งเตือนความปลอดภัย ในกรณีที่ตรวจเจอบุคคลนอกช่วงเวลาที่กำหนดผ่านทางไลน์
translate thai to english,นอกจากนี้ ยังพบว่าปัจจัยการเปลี่ยนแปลงทางธุรกิจยังมีอิทธิพลทางอ้อมเชิงบวกต่อผลการดำเนินงานของธุรกิจอย่างยั่งยืนอีกด้วย,"In addition, it was found that business transformation factors also had a positive indirect influence on sustainable business performance. "
translate english to thai,"In addition, it was found that business transformation factors also had a positive indirect influence on sustainable business performance. ",นอกจากนี้ ยังพบว่าปัจจัยการเปลี่ยนแปลงทางธุรกิจยังมีอิทธิพลทางอ้อมเชิงบวกต่อผลการดำเนินงานของธุรกิจอย่างยั่งยืนอีกด้วย
translate thai to english,สรุปได้ว่าวิธีการที่ใช้ในการศึกษานี้เป็นเครื่องมือที่มีประสิทธิภาพในการทำนายภัยแล้งระดับตำบลในพื้นที่ฝนทิ้งช่วง,"Finally, we can conclude that the methodology used for this study is an efficient tool for the drought prediction at a sub-district level in the rainfed areas."
translate english to thai,"Finally, we can conclude that the methodology used for this study is an efficient tool for the drought prediction at a sub-district level in the rainfed areas.",สรุปได้ว่าวิธีการที่ใช้ในการศึกษานี้เป็นเครื่องมือที่มีประสิทธิภาพในการทำนายภัยแล้งระดับตำบลในพื้นที่ฝนทิ้งช่วง
translate thai to english,"และหลังปรับคือ 1,339 วินาที โดยผลหลังปรับเทียบคือ 141 วินาที","And after the adjustment was 1,339 seconds, with the result after the comparison was 141 seconds. "
translate english to thai,"And after the adjustment was 1,339 seconds, with the result after the comparison was 141 seconds. ","และหลังปรับคือ 1,339 วินาที โดยผลหลังปรับเทียบคือ 141 วินาที"
translate thai to english,อย่างไรก็ตาม อัตราการเพิ่มของนมและอัตราการบริโภคอาหารสัตว์โดยเฉลี่ยไม่มีความแตกต่างอย่างมีนัยสำคัญระหว่างกลุ่มไก่และกลุ่มอาหารสัตว์,"However, the average dairy gain  and feed consumption rate was no significant difference between the chicken groups and feed groups."
translate english to thai,"However, the average dairy gain  and feed consumption rate was no significant difference between the chicken groups and feed groups.",อย่างไรก็ตาม อัตราการเพิ่มของนมและอัตราการบริโภคอาหารสัตว์โดยเฉลี่ยไม่มีความแตกต่างอย่างมีนัยสำคัญระหว่างกลุ่มไก่และกลุ่มอาหารสัตว์
translate thai to english,ความต้องการอาหารที่เพิ่มขึ้นของผู้บริโภคส่งผลให้เกิดปัญหาในการจัดส่ง โดยเฉพาะการบรรจุ การเคลื่อนย้าย และการขนส่งกล่องอาหารในภาชนะสี่เหลี่ยมผืนผ้าที่มีจำกัดจากธุรกิจการผลิตอาหารหรือไปรษณีย์,"The increasing of consumer demand in foods resulted in their delivery problems, especially the packing, moving and shipping of food boxes into a limited rectangular container from the food manufacturing or postal business. "
translate english to thai,"The increasing of consumer demand in foods resulted in their delivery problems, especially the packing, moving and shipping of food boxes into a limited rectangular container from the food manufacturing or postal business. ",ความต้องการอาหารที่เพิ่มขึ้นของผู้บริโภคส่งผลให้เกิดปัญหาในการจัดส่ง โดยเฉพาะการบรรจุ การเคลื่อนย้าย และการขนส่งกล่องอาหารในภาชนะสี่เหลี่ยมผืนผ้าที่มีจำกัดจากธุรกิจการผลิตอาหารหรือไปรษณีย์
translate thai to english,ในแต่ละด้านพบว่าเนื้อหาของเว็บไซต์มีความสมบูรณ์ ค่าเฉลี่ย 4.13,"In each aspect, it is found that the website's content is complete, the mean is 4.13. "
translate english to thai,"In each aspect, it is found that the website's content is complete, the mean is 4.13. ",ในแต่ละด้านพบว่าเนื้อหาของเว็บไซต์มีความสมบูรณ์ ค่าเฉลี่ย 4.13
translate thai to english,จากการทดสอบการทำงานอัตโนมัติอย่างต่อเนื่อง 10 รอบ ประสิทธิภาพอยู่ที่ 94.87 เปอร์เซ็นต์ และการทำงานเป็นไปอย่างราบรื่น,"According to the test of 10 rounds of continuously automatic operation, the efficiency is 94.87 percentages, and the operation runs smoothly. "
translate english to thai,"According to the test of 10 rounds of continuously automatic operation, the efficiency is 94.87 percentages, and the operation runs smoothly. ",จากการทดสอบการทำงานอัตโนมัติอย่างต่อเนื่อง 10 รอบ ประสิทธิภาพอยู่ที่ 94.87 เปอร์เซ็นต์ และการทำงานเป็นไปอย่างราบรื่น
translate thai to english,สรุปได้ว่าเครื่องตัดอลูมิเนียมคอมโพสิทที่ใช้คอมพิวเตอร์ควบคุมเชิงตัวเลขนั้นดีสำหรับวิสาหกิจขนาดกลางและขนาดย่อมของไทยและมีต้นทุนน้อยกว่าการนำเข้า 60.48%,It can be concluded that the Aluminum Composite cutting machine using computer numerical control is good for Thai Small and medium-sized enterprises and the cost is less than the import 60.48%. 
translate english to thai,It can be concluded that the Aluminum Composite cutting machine using computer numerical control is good for Thai Small and medium-sized enterprises and the cost is less than the import 60.48%. ,สรุปได้ว่าเครื่องตัดอลูมิเนียมคอมโพสิทที่ใช้คอมพิวเตอร์ควบคุมเชิงตัวเลขนั้นดีสำหรับวิสาหกิจขนาดกลางและขนาดย่อมของไทยและมีต้นทุนน้อยกว่าการนำเข้า 60.48%
translate thai to english,ซึ่งแสดงว่าประสิทธิภาพการจัดการซ่อมบำรุงเพิ่มสูงขึ้น,Which leads to higher efficiency of maintenance management system
translate english to thai,Which leads to higher efficiency of maintenance management system,ซึ่งแสดงว่าประสิทธิภาพการจัดการซ่อมบำรุงเพิ่มสูงขึ้น
translate thai to english,ปัญหาการจัดรายชื่อลูกเรือของสายการบินมีความซับซ้อนและยากที่จะหาคำตอบในเวลาที่เหมาะสม เนื่องจากข้อกำหนดมีความซับซ้อนและขนาดของลูกเรือและเที่ยวบินมีขนาดใหญ่มาก,The airline crew rostering problem is complex and very difficult to find the answer in a suitable time because the requirements are complicated and the size of the crew and flight are very large. 
translate english to thai,The airline crew rostering problem is complex and very difficult to find the answer in a suitable time because the requirements are complicated and the size of the crew and flight are very large. ,ปัญหาการจัดรายชื่อลูกเรือของสายการบินมีความซับซ้อนและยากที่จะหาคำตอบในเวลาที่เหมาะสม เนื่องจากข้อกำหนดมีความซับซ้อนและขนาดของลูกเรือและเที่ยวบินมีขนาดใหญ่มาก
translate thai to english,ตามมาด้วย LMT ความแม่นยำ 95.90% PART ความแม่นยำ 95.10% J48 ความแม่นยำ 94.80% และ JRIP ความแม่นยำ 94.00% ตามลำดับ,"Followed by the LMT with an accuracy of 95.90%, PART with an accuracy of 95.10%, J48 with an accuracy of 94.80%, and JRIP with an accuracy of 94.00% respectively."
translate english to thai,"Followed by the LMT with an accuracy of 95.90%, PART with an accuracy of 95.10%, J48 with an accuracy of 94.80%, and JRIP with an accuracy of 94.00% respectively.",ตามมาด้วย LMT ความแม่นยำ 95.90% PART ความแม่นยำ 95.10% J48 ความแม่นยำ 94.80% และ JRIP ความแม่นยำ 94.00% ตามลำดับ
translate thai to english,"NPV และ PB ปีที่ 1 เท่ากับ 604,800 บาท 391,144.31 และ 0.41 ปีตามลำดับ ซึ่งเป็นผลดีที่สุดเมื่อเปรียบเทียบกับพืชชนิดอื่น","The NPV and PB of the 1st year were 604,800 baht, 391,144.31 and 0.41 years respectively, which was the best comparable result compared to other crops. "
translate english to thai,"The NPV and PB of the 1st year were 604,800 baht, 391,144.31 and 0.41 years respectively, which was the best comparable result compared to other crops. ","NPV และ PB ปีที่ 1 เท่ากับ 604,800 บาท 391,144.31 และ 0.41 ปีตามลำดับ ซึ่งเป็นผลดีที่สุดเมื่อเปรียบเทียบกับพืชชนิดอื่น"
translate thai to english,คำนวณผิด ร้อยละ 26.70 สงสัย.,wrong calculation 26.70 percent skepticism. 
translate english to thai,wrong calculation 26.70 percent skepticism. ,คำนวณผิด ร้อยละ 26.70 สงสัย.
translate thai to english,วิธีการนี้ถูกนำมาใช้และทดสอบกับภาพมะม่วง 100 ภาพ,The method was implemented and tested on 100 mango images. 
translate english to thai,The method was implemented and tested on 100 mango images. ,วิธีการนี้ถูกนำมาใช้และทดสอบกับภาพมะม่วง 100 ภาพ
translate thai to english,ผลการหาคำตอบพบว่าวิธีการหาค่าที่เหมาะสมแบบฝูงอนุภาค มีประสิทธิภาพในการหาคำตอบ ให้ค่าใช้จ่ายที่ต่ำกว่าผลคำตอบจากโปรแกรม ภายในระยะเวลาการคำนวณของโปรแกรมที่ 94.38 นาที,The results show that The Particle Swarm Optimization is very efficient in finding the solution with lower total cost than that obtained from program within its computational time of 94.38 minutes.
translate english to thai,The results show that The Particle Swarm Optimization is very efficient in finding the solution with lower total cost than that obtained from program within its computational time of 94.38 minutes.,ผลการหาคำตอบพบว่าวิธีการหาค่าที่เหมาะสมแบบฝูงอนุภาค มีประสิทธิภาพในการหาคำตอบ ให้ค่าใช้จ่ายที่ต่ำกว่าผลคำตอบจากโปรแกรม ภายในระยะเวลาการคำนวณของโปรแกรมที่ 94.38 นาที
translate thai to english,ผลการวิจัยพบว่าการจัดการขยะมูลฝอยชุมชนแบบเปิดทิ้งเป็นแหล่งปล่อยก๊าซมีเทนที่ใหญ่ที่สุดร้อยละ 96.53 ซึ่งเกิดจากก๊าซมีเทนที่ปล่อยออกมาจากกระบวนการย่อยสลายแบบไม่ใช้ออกซิเจน,The results showed that open-dumped municipal waste management was the largest source of emissions 96.53% caused by methane released from the anaerobic digestion process. 
translate english to thai,The results showed that open-dumped municipal waste management was the largest source of emissions 96.53% caused by methane released from the anaerobic digestion process. ,ผลการวิจัยพบว่าการจัดการขยะมูลฝอยชุมชนแบบเปิดทิ้งเป็นแหล่งปล่อยก๊าซมีเทนที่ใหญ่ที่สุดร้อยละ 96.53 ซึ่งเกิดจากก๊าซมีเทนที่ปล่อยออกมาจากกระบวนการย่อยสลายแบบไม่ใช้ออกซิเจน
translate thai to english,"การตรวจจับฮาร์มอนิก, กรอบอ้างอิงแบบซิงโครนัสใช้สำหรับคำนวณกระแสอ้างอิงของโครงสร้างตัวกรองพลังงานที่ใช้งานตามล่าทั้งสอง","The harmonic detection, synchronous reference frame is used for calculating the reference current of both hunt active power filter structures. "
translate english to thai,"The harmonic detection, synchronous reference frame is used for calculating the reference current of both hunt active power filter structures. ","การตรวจจับฮาร์มอนิก, กรอบอ้างอิงแบบซิงโครนัสใช้สำหรับคำนวณกระแสอ้างอิงของโครงสร้างตัวกรองพลังงานที่ใช้งานตามล่าทั้งสอง"
translate thai to english,งานวิจัยนี้ได้ออกแบบและประดิษฐ์เครื่องทำความสะอาดลูกบอลพลาสติกเด็กเพื่อลดปัญหาการทำความสะอาดที่ล่าช้าจากแรงงานคน,"This research was design and invention of cleaning machine for children plastic ball to mitigate the issue of
slowly cleaning the balls from labors."
translate english to thai,"This research was design and invention of cleaning machine for children plastic ball to mitigate the issue of
slowly cleaning the balls from labors.",งานวิจัยนี้ได้ออกแบบและประดิษฐ์เครื่องทำความสะอาดลูกบอลพลาสติกเด็กเพื่อลดปัญหาการทำความสะอาดที่ล่าช้าจากแรงงานคน
translate thai to english,ดังนั้นจึงสรุปได้ว่าท่อที่มีการเคลือบผิวที่ดีกว่าจะมีพฤติกรรมการต้านทานการกัดกร่อนที่ดีกว่าเช่นกัน,"Therefore, it could be concluded that pipes with better surface treatment had better corrosion resistance behavior as well. "
translate english to thai,"Therefore, it could be concluded that pipes with better surface treatment had better corrosion resistance behavior as well. ",ดังนั้นจึงสรุปได้ว่าท่อที่มีการเคลือบผิวที่ดีกว่าจะมีพฤติกรรมการต้านทานการกัดกร่อนที่ดีกว่าเช่นกัน
translate thai to english,"นอกจากนี้ คุณภาพของผลิตภัณฑ์กระจกเคลือบโครเมี่ยมยังมีผลกระทบจากการผลิตที่ไม่แน่นอนระหว่างกระบวนการผลิต และมีตำหนิ เช่น รอยขีดข่วนบนผิวกระจก, สีไม่สมบูรณ์, สปอร์ตเล็กๆ บนผิวกระจก","Furthermore, quality of chrome coated mirror products has effect from unstable production during processing and has defect such as scratch on mirror surface, incomplete paint, small sport on mirror surface. "
translate english to thai,"Furthermore, quality of chrome coated mirror products has effect from unstable production during processing and has defect such as scratch on mirror surface, incomplete paint, small sport on mirror surface. ","นอกจากนี้ คุณภาพของผลิตภัณฑ์กระจกเคลือบโครเมี่ยมยังมีผลกระทบจากการผลิตที่ไม่แน่นอนระหว่างกระบวนการผลิต และมีตำหนิ เช่น รอยขีดข่วนบนผิวกระจก, สีไม่สมบูรณ์, สปอร์ตเล็กๆ บนผิวกระจก"
translate thai to english,การเพิ่มจำนวนปูแสม Sundaic จากโรงเพาะฟักเป็นสิ่งที่จำเป็น,Increasing the Sundaic paddler crab numbers from the hatchery is necessary. 
translate english to thai,Increasing the Sundaic paddler crab numbers from the hatchery is necessary. ,การเพิ่มจำนวนปูแสม Sundaic จากโรงเพาะฟักเป็นสิ่งที่จำเป็น
translate thai to english,งานวิจัยนี้มีวัตถุประสงค์เพื่อศึกษาและพัฒนาการตรวจสอบอัตโนมัติสำหรับกรณีตรวจจับการปนเปื้อนบนพื้นที่ผิวตลับลูกปืนอากาศกรณีศึกษาของบริษัทด้วยเทคนิคแมชชีนวิชั่น,The objective of this research was to study and development of auto inspection for contamination detection case on the air bearing surface area of a company case study by machine vision technique.
translate english to thai,The objective of this research was to study and development of auto inspection for contamination detection case on the air bearing surface area of a company case study by machine vision technique.,งานวิจัยนี้มีวัตถุประสงค์เพื่อศึกษาและพัฒนาการตรวจสอบอัตโนมัติสำหรับกรณีตรวจจับการปนเปื้อนบนพื้นที่ผิวตลับลูกปืนอากาศกรณีศึกษาของบริษัทด้วยเทคนิคแมชชีนวิชั่น
translate thai to english,โครงสร้างต้นแบบประกอบด้วยช่องวัสดุ ชุดแรงขับ ชุดใบมีด ช่องปล่อยวัสดุ และใช้ระบบควบคุมมอเตอร์ขนาด 25 W,"The prototype structure consists of a material slot, driving force set, blade set, material releasing slot, and uses a motor controlling system of 25 W. "
translate english to thai,"The prototype structure consists of a material slot, driving force set, blade set, material releasing slot, and uses a motor controlling system of 25 W. ",โครงสร้างต้นแบบประกอบด้วยช่องวัสดุ ชุดแรงขับ ชุดใบมีด ช่องปล่อยวัสดุ และใช้ระบบควบคุมมอเตอร์ขนาด 25 W
translate thai to english,เครื่องถูกควบคุมโดยอัตโนมัติโดยใช้โปรแกรม Mach 3 เป็นเครื่องมือในการรันบอร์ดเบรกเอาต์ไมโครโปรเซสเซอร์ 5 แกนผ่านพอร์ตพาราเรล,The machine is automatically controlled using Program Mach 3 as a tool to run microprocessor 5 axis breakout board via pararell port. 
translate english to thai,The machine is automatically controlled using Program Mach 3 as a tool to run microprocessor 5 axis breakout board via pararell port. ,เครื่องถูกควบคุมโดยอัตโนมัติโดยใช้โปรแกรม Mach 3 เป็นเครื่องมือในการรันบอร์ดเบรกเอาต์ไมโครโปรเซสเซอร์ 5 แกนผ่านพอร์ตพาราเรล
translate thai to english,วิธีการวิจัยรวมถึงการหาสาเหตุที่เป็นไปได้ของข้อบกพร่องด้วยแผนภาพก้างปลา,The research methodology included the determination of possible causes of defects with a fish bone diagram. 
translate english to thai,The research methodology included the determination of possible causes of defects with a fish bone diagram. ,วิธีการวิจัยรวมถึงการหาสาเหตุที่เป็นไปได้ของข้อบกพร่องด้วยแผนภาพก้างปลา
translate thai to english,วัสดุที่ใช้ทดสอบส่วนใหญ่เป็นผลิตผลทางการเกษตร ได้แก่ กากถั่วเหลือง ข้าวเปลือก และข้าวนึ่ง,"Testing materials are mostly agricultural products, including soy bean residue, rice paddy and parboiled rice. "
translate english to thai,"Testing materials are mostly agricultural products, including soy bean residue, rice paddy and parboiled rice. ",วัสดุที่ใช้ทดสอบส่วนใหญ่เป็นผลิตผลทางการเกษตร ได้แก่ กากถั่วเหลือง ข้าวเปลือก และข้าวนึ่ง
translate thai to english,ของระบบน้อยลงพร้อมทั้งปกป้องสิ่งแวดล้อมอีกด้วย ปริมาณกระดาษ ที่ใช้ในระบบ ISO 9001 คือ 0 เปอร์เซ็นต์,Less of the system as well as protecting the environment as well as the amount of paper used in the ISO 9001 system is 0 percent. 
translate english to thai,Less of the system as well as protecting the environment as well as the amount of paper used in the ISO 9001 system is 0 percent. ,ของระบบน้อยลงพร้อมทั้งปกป้องสิ่งแวดล้อมอีกด้วย ปริมาณกระดาษ ที่ใช้ในระบบ ISO 9001 คือ 0 เปอร์เซ็นต์
translate thai to english,ด้านประสิทธิภาพ จะมุ่งเน้นวัดต้นทุนกิจกรรมโลจิสติกส์ โดยวิธีต้นทุนฐานกิจกรรม,Efficiency will focus on measuring the cost of logistics activities by using Activity Based Costing method.
translate english to thai,Efficiency will focus on measuring the cost of logistics activities by using Activity Based Costing method.,ด้านประสิทธิภาพ จะมุ่งเน้นวัดต้นทุนกิจกรรมโลจิสติกส์ โดยวิธีต้นทุนฐานกิจกรรม
translate thai to english,โดยมีความแตกต่างอย่างมีนัยสำคัญทางสถิติกับการบำบัดควบคุมโดยใช้น้ำ,Which were statistically significant different from the control treatment using water. 
translate english to thai,Which were statistically significant different from the control treatment using water. ,โดยมีความแตกต่างอย่างมีนัยสำคัญทางสถิติกับการบำบัดควบคุมโดยใช้น้ำ
translate thai to english,การประเมินปริมาณก๊าซคาร์บอนไดออกไซด์สำหรับใช้เป็นข้อมูลพื้นฐานในการหามาตรการลดปลดปล่อยจากกิจกรรมการจัดการขยะมูลฝอยในชุมชนตำบลบ้านยาง จังหวัดบุรีรัมย์ ทั้ง 19 หมู่บ้าน ในปี 2019,"The amount of carbon dioxide gas assessment for use as basic information in reduction measures emission from solid waste management activities in Ban-Yang community, Buriram province, all 19 villages in the year 2019."
translate english to thai,"The amount of carbon dioxide gas assessment for use as basic information in reduction measures emission from solid waste management activities in Ban-Yang community, Buriram province, all 19 villages in the year 2019.",การประเมินปริมาณก๊าซคาร์บอนไดออกไซด์สำหรับใช้เป็นข้อมูลพื้นฐานในการหามาตรการลดปลดปล่อยจากกิจกรรมการจัดการขยะมูลฝอยในชุมชนตำบลบ้านยาง จังหวัดบุรีรัมย์ ทั้ง 19 หมู่บ้าน ในปี 2019
translate thai to english,แพ็คเกจไม่น่าสนใจ,the package was not attractive.
translate english to thai,the package was not attractive.,แพ็คเกจไม่น่าสนใจ
translate thai to english,งานวิจัยนี้มีวัตถุประสงค์เพื่อศึกษาอัตราการกัดกร่อนและคาดการณ์อายุการใช้งานของท่อเกรด L80 - 13Cr และ K55 ตามมาตรฐาน API 5CT ที่ใช้ในการเจาะและกระบวนการผลิต,The purpose of this research is to study the corrosion rate and predicts service life of L80 - 13Cr and K55 grades of tubing according to API 5CT standards used in drilling and production processes. 
translate english to thai,The purpose of this research is to study the corrosion rate and predicts service life of L80 - 13Cr and K55 grades of tubing according to API 5CT standards used in drilling and production processes. ,งานวิจัยนี้มีวัตถุประสงค์เพื่อศึกษาอัตราการกัดกร่อนและคาดการณ์อายุการใช้งานของท่อเกรด L80 - 13Cr และ K55 ตามมาตรฐาน API 5CT ที่ใช้ในการเจาะและกระบวนการผลิต
translate thai to english,สถิติที่ใช้ในการวิจัย ได้แก่ ความเที่ยงตรง ค่า F-measure ค่าเฉลี่ย และส่วนเบี่ยงเบนมาตรฐาน,"The statistics used in this research, including accuracy, precision, F-measure, average, and standard deviation."
